key,original,translated
epki_error,External PKI error,
epki_invalid_alias,Lost KeyChain association with profile certificate and private key. Please retry login.,
epki_missing_cert,Cannot obtain profile certificate from KeyChain,
exit_confirm,Do you want exit?,
exit_full,Exit All,
exit_partial,Background,
expires_on,Expires on:,
extra_header,Extra Header,
file_dialog_cancel,Cancel,
file_dialog_cant_read_folder,Cannot read folder,
file_dialog_create,Save,
file_dialog_err,Error,
file_dialog_file_name,File name:,
file_dialog_location,Location,
file_dialog_new,New,
file_dialog_no_data,No Data,
file_dialog_select,Select,
file_read_error,Cannot read file,
file_too_large,file %s too large (cannot exceed %d bytes),
fingerprints,Fingerprints:,
force_aes_cbc_ciphersuites_summary,Enabling this option can sometimes help when connecting to legacy servers.,
force_aes_cbc_ciphersuites_title,Force AES-CBC ciphersuites,
forget_creds,Forget Credentials,
forget_creds_cancel,Cancel,
forget_creds_message,Forget saved credential and trust information but retain all profiles and proxies?,
forget_creds_title,Forget Credentials,
forget_creds_yes,Yes,
get_config,KATUN VPN : Pulling settings from server,
google_dns_fallback_summary,Use Google DNS servers as a fallback for connections that route all internet traffic through the VPN tunnel but don't define any VPN DNS servers,
google_dns_fallback_title,DNS Fallback,
help_menu,Help,
host,URL/Host,
https_client_task_error,HTTPS client task error,
import_autologin_checkbox_text,Import autologin profile,
import_button_text,Import Profile,
import_cancel_button_text,Cancel,
import_help_text,"To create a shortcut to this profile or access the profile context menu (for rename, delete, etc.), touch the edit icon on the right. To switch to a different profile, tap the profile name briefly.",
import_help_title,Profile Imported,
import_menu,Import,
import_pkcs12,Import PKCS#12 from SD card,
import_private_tunnel_profile,Import Private Tunnel Profile,
import_profile,Import profile,
import_profile_remote,Import Access Server Profile,
import_server_prompt,Access Server Hostname:,
inactive_timeout,KATUN VPN : Inactivity Disconnect,
info_about,About,
info_group_header,Connection info:,
info_msg,KATUN VPN : Info,
injection_method,Injection Method,
ip1,Combined IPv4/IPv6 tunnel,
ip2,IPv4-only tunnel,
ip3,No preference,
ipv4_addr,IPv4,
ipv6_addr,IPv6,
